category,brand,name,price,unit,photo_url,description
Комплекти автономного енергоживлення,FELICITY,Комплект автономного енергоживлення: Felicity IVEM4024-II 24В 4 кВт+ Felicity FLA24280 25.6V 280Ah,75797,грн,assets/images/komp/152215.jpg,"Комплект автономного енергоживлення Felicity IVEM4024-II 24В 4 кВт+ Felicity FLA24280 25.6V 280Ah Комплект автономного енергоживлення Felicity та Felicity підійде для будинку, квартири, офісу, майстерні або іншого об'єкта, де потрібна система резервного та автономного живлення. У комплекті поєднані інвертор Felicity потужністю 4 кВт та акумулятор Felicity на 7,17 кВт·год, тому система може живити підключене навантаження та накопичувати електроенергію для подальшого використання. Felicity IVEM4024-II це гібридний інвертор потужністю 4 кВт з номінальною напругою акумулятора 24 В. Він формує вихідну напругу 230 В у вигляді чистої синусоїди, тому підходить для живлення побутової техніки, електроніки та іншого обладнання в межах допустимого навантаження. Інвертор може працювати від акумулятора, сонячних панелей, електромережі або генератора. Для контролю роботи передбачений дисплей і вбудований Wi-Fi, а також функції захисту від перевантаження, перегріву та короткого замикання. Для накопичення енергії використовується Felicity FLA24280. Це акумуляторна батарея на основі технології LiFePO4 з номінальною напругою 25,6 В, ємністю 280 А·год та запасом енергії близько 7,17 кВт·год. Така батарея може використовуватися як резервне джерело живлення під час відключень електроенергії або для накопичення енергії від сонячних панелей. Такий комплект інвертор + акумулятор містить основні компоненти для організації резервного та автономного живлення. Його можна використовувати для живлення будинку, квартири, офісу, майстерні або іншого об'єкта. За наявності сонячних панелей комплект також дозволяє використовувати сонячну енергію для живлення навантаження та заряджання акумулятора. Характеристики: Інвертор: Felicity IVEM4024-II 4 кВт 24 В Тип: гібридний інвертор Номінальна потужність: 4 кВт Кількість фаз: 1 Напруга АКБ: 24 В Форма вихідної напруги: чиста синусоїда 230 В Wi-Fi: є Акумулятор: Felicity FLA24280 Тип АКБ: LiFePO4 Номінальна напруга: 25,6 В Ємність: 280 А·год Енергоємність: близько 7,17 кВт·год BMS: є"
Акумулятори для гібридних інверторів,DYNESS,"Акумуляторна батарея Dyness BX51100 51.2v 100ah, 5.12kwh LiFePo4, Trade IN",34460,грн,assets/images/products/150590_1.jpg,"Акумуляторна батарея Dyness BX51100 51,2 В 100 А·год 5,12 кВт·год LiFePO4 Dyness BX51100 – це літій-залізо-фосфатна акумуляторна батарея LiFePO4 ємністю 100 А·год та номінальною напругою 51,2 В. Номінальна енергія акумулятора становить 5,12 кВт·год. Батарея призначена для систем резервного та автономного живлення, а також для роботи разом з інвертором. Ємність 100 А·год та енергоємність 5,12 кВт·год дозволяють накопичувати енергію для живлення побутового та іншого обладнання під час відключень електроенергії. Завдяки номінальній напрузі 51,2 В акумулятор підходить для систем, розрахованих на 48 В. Акумулятор Dyness BX51100 виконаний за технологією LiFePO4, яка добре підходить для систем накопичення енергії з регулярними циклами заряджання та розряджання. Батарея може використовуватися в автономних та гібридних системах, сонячних електростанціях і як акумулятор для інвертора. Передбачена можливість підключення до 30 батарей паралельно, що дозволяє збільшувати загальну ємність системи. Корпус має розміри 558 × 545 × 150 мм, вага акумулятора становить 50 кг. Передбачені різні варіанти монтажу, зокрема настінне, підлогове та стекове встановлення. Батарея має комунікаційні інтерфейси CAN, RS485 та RS232 для обміну даними з сумісним обладнанням. Дана позиція пропонується за програмою Trade-IN – батарея була у використанні, має високий рівень технічного стану (SOH) і проходить перевірку перед продажем, що дозволяє придбати надійне рішення за більш вигідною ціною. Де використовується Акумулятор Dyness BX51100 100 А·год можна використовувати як джерело накопичення енергії у таких системах: • резервного живлення будинку або квартири • автономного електроживлення • роботи з інвертором • накопичення енергії від сонячних панелей • живлення обладнання під час відключень електроенергії • гібридних та автономних сонячних електростанцій Важливо: перед підключенням необхідно перевірити сумісність акумулятора з інвертором за напругою, параметрами заряджання та розряджання, а також способом комунікації. Для збільшення ємності системи батареї Dyness BX51100 можна підключати паралельно, але конфігурацію необхідно підбирати з урахуванням вимог виробника."
Джерела безперебійного живлення,—,Безперебійник для роутера TTN DC1036P 12000 mAh DC Mini UPS for Wifi Router,1655,грн,assets/images/products/150649_1.jpg,"Безперебійник для роутера TTN DC1036P 12000 mAh DC Mini UPS for WiFi Router TTN DC1036P — компактний міні ДБЖ для роутера, який допомагає підтримувати роботу Wi-Fi під час відключення електроенергії. Вбудований акумулятор ємністю 12000 mAh забезпечує резервне живлення роутера та іншого сумісного мережевого обладнання. Такий безперебійник для роутера зручно використовувати вдома або в офісі, коли важливо залишатися на зв'язку навіть під час перебоїв з електропостачанням. TTN DC1036P підключається між блоком живлення та роутером і автоматично переходить на живлення від акумулятора при зникненні напруги в мережі. Компактний корпус не займає багато місця, тому DC Mini UPS для WiFi роутера можна розмістити безпосередньо біля мережевого обладнання. Ємність 12000 mAh дозволяє довше підтримувати роботу підключеного пристрою порівняно з невеликими резервними акумуляторами. TTN DC1036P стане практичним рішенням для резервного живлення роутера, коли під час відключень електроенергії потрібно зберегти доступ до Wi-Fi та інтернету. Характеристики: виробник: TTN модель: DC1036P тип: DC Mini UPS ємність акумулятора: 12000 mAh призначення: резервне живлення роутера та мережевого обладнання тип обладнання: ДБЖ для Wi-Fi роутера формат: компактний міні ДБЖ"
Акумулятори для гібридних інверторів,DEYE,"Акумуляторна батарея DEYE SE-F5 Pro-C 51.2V 100 Аh, 404х547х141, 45 кг, LiFePO4 5.12kWh",40290,грн,assets/images/products/150676_1.jpg,"Акумуляторна батарея DEYE SE-F5 Pro-C 51,2 В 100 А·год LiFePO4, 5,12 кВт·год, 404 × 547 × 141 мм, 45 кг DEYE SE-F5 Pro-C – це літій-залізо-фосфатна акумуляторна батарея LiFePO4 ємністю 100 А·год та номінальною напругою 51,2 В. Акумулятор призначений для систем резервного та автономного живлення, а також для роботи разом з інвертором. Ємність 100 А·год дозволяє накопичувати енергію для живлення побутового та іншого обладнання під час відключень електроенергії. Номінальна енергоємність батареї становить 5,12 кВт·год, а напруга 51,2 В підходить для систем, розрахованих на 48 В. Акумулятор виконаний за технологією LiFePO4, яка добре підходить для систем накопичення енергії з регулярними циклами заряджання та розряджання. Такий формат часто використовують у домашніх системах резервного живлення, сонячних електростанціях та автономних енергетичних комплексах. Корпус має розміри 404 × 547 × 141 мм, вага акумулятора становить 45 кг. Компактні розміри дозволяють встановлювати батарею в спеціально підготовленому місці або акумуляторній шафі з урахуванням необхідного простору для монтажу та обслуговування. Де використовується Акумулятор DEYE SE-F5 Pro-C 100 А·год можна використовувати як джерело накопичення енергії у таких системах: • резервного живлення будинку або квартири • автономного електроживлення • роботи з інвертором • накопичення енергії від сонячних панелей • живлення обладнання під час відключень електроенергії Важливо: перед підключенням необхідно перевірити сумісність акумулятора з інвертором за напругою, параметрами заряджання та способом комунікації, якщо вона передбачена."
Гибридні інвертори,MUST,"Гібридний інвертор Must PV18-1012VPK 1 кВт 12 В, 297.5х468х125, 5 кг",9714,грн,assets/images/products/150825_1.jpg,"Гібридний інвертор MUST PV18-1012VPK 1 кВт 12 В, 297,5 × 468 × 125 мм, 5 кг MUST PV18-1012VPK – гібридний інвертор потужністю 1 кВт для систем резервного та автономного електроживлення. Модель працює з акумуляторними батареями на 12 В та призначена для однофазних систем. Інвертор дозволяє поєднати акумуляторне живлення, електромережу та сонячну енергію в одній системі. Він може використовуватися для живлення електроніки, побутових приладів та іншого обладнання в межах допустимого навантаження. Такий формат підходить для створення компактної системи резервного живлення. MUST PV18-1012VPK може працювати в системах із сонячними панелями та акумуляторною батареєю, дозволяючи використовувати сонячну енергію для живлення навантаження та заряджання АКБ. Завдяки цьому інвертор можна використовувати як для резервного живлення, так і в невеликих автономних системах. Корпус має розміри 297,5 × 468 × 125 мм, а вага становить 5 кг. Під час встановлення необхідно передбачити достатньо місця для підключення кабелів, вентиляції та нормального охолодження пристрою. Де використовується Гібридний інвертор MUST PV18-1012VPK можна використовувати: для резервного живлення будинку або квартири; у невеликих автономних системах електроживлення; для роботи з акумуляторними батареями 12 В; у невеликих сонячних електростанціях; для резервного живлення електроніки та побутової техніки; у системах накопичення електроенергії; для використання сонячної енергії разом з акумулятором; як частину компактної гібридної системи живлення. На що звернути увагу Перед покупкою важливо перевірити сумісність акумуляторної батареї з напругою 12 В, її ємність та допустимі струми заряду і розряду. Також необхідно враховувати, що номінальна потужність інвертора становить 1 кВт, тому сумарне навантаження підключених приладів не повинно перевищувати допустимі значення. Під час підбору сонячних панелей потрібно враховувати допустимі параметри сонячного входу та контролера саме для цієї моделі. При монтажі слід забезпечити достатню вентиляцію та вільний простір навколо корпусу для нормального охолодження."
Акумулятори для гібридних інверторів,FELICITY,"Акумуляторна батарея Felicity FLA48314-EU 51.2V 314Ah 16kWh LiFePO4, 435х880х247, 121.5 кг",86826,грн,assets/images/products/151617_1.jpg,"Акумуляторна батарея Felicity FLA48314-EU 51,2 В 314 А·год 16 кВт·год LiFePO₄, 435 × 880 × 247 мм, 121,5 кг Felicity FLA48314-EU – це літій-залізо-фосфатна акумуляторна батарея LiFePO₄ ємністю 314 А·год та номінальною напругою 51,2 В. Акумулятор призначений для систем резервного та автономного живлення, а також для роботи разом з інвертором. Ємність 314 А·год дозволяє накопичувати енергію для живлення побутового та іншого обладнання під час відключень електроенергії. Номінальна енергоємність батареї становить 16 кВт·год, а напруга 51,2 В підходить для систем, розрахованих на 48 В. Акумулятор виконаний за технологією LiFePO₄, яка добре підходить для систем накопичення енергії з регулярними циклами заряджання та розряджання. Такий формат часто використовують у домашніх системах резервного живлення, сонячних електростанціях та автономних енергетичних комплексах. Акумулятор має вбудовану систему BMS, автоматичний вимикач та запобіжник, а також підтримує зв'язок через CAN та RS485. Корпус має розміри 435 × 880 × 247 мм, вага акумулятора становить 121,5 кг. Підлогове встановлення дозволяє розміщувати батарею в спеціально підготовленому місці з урахуванням необхідного простору для монтажу та обслуговування. Де використовується Акумулятор Felicity FLA48314-EU 314 А·год можна використовувати як джерело накопичення енергії у таких системах: • резервного живлення будинку або квартири • автономного електроживлення • роботи з інвертором • накопичення енергії від сонячних панелей • живлення обладнання під час відключень електроенергії Важливо: перед підключенням необхідно перевірити сумісність акумулятора з інвертором за напругою, параметрами заряджання та способом комунікації, якщо вона передбачена."
Гибридні інвертори,MUST,"Гібридний інвертор Must PV18-3224 VPM II 3.2 кВт 24 В, 254.5х367.4х103, 5.6 кг",14309,грн,assets/images/products/142723_1.jpg,"Гібридний інвертор MUST PV18-3224 VPM II 3,2 кВт 24 В, 254,5 × 367,4 × 103 мм, 5,6 кг MUST PV18-3224 VPM II – гібридний інвертор потужністю 3,2 кВт для систем резервного та автономного електроживлення. Модель працює з акумуляторними батареями на 24 В та може використовуватися в однофазних системах. Інвертор поєднує функції перетворювача, зарядного пристрою від електромережі та сонячного контролера MPPT, що дозволяє використовувати його як частину системи з сонячними панелями та акумулятором. Пристрій підтримує чисту синусоїду на виході та забезпечує потужність до 3200 Вт, а пікова потужність становить до 6400 ВА. Вбудований MPPT-контролер працює в діапазоні 30–128 В та підтримує підключення сонячного масиву потужністю до 1600 Вт. Максимальний струм сонячного заряджання становить 60 А, а загальний максимальний струм заряджання від мережі та сонячних панелей може досягати 120 А. Компактний корпус має розміри 254,5 × 367,4 × 103 мм, а вага становить близько 5,6 кг, тому інвертор зручно використовувати там, де важливі невеликі габарити та простота монтажу. Де використовується Гібридний інвертор MUST PV18-3224 VPM II можна використовувати: для резервного живлення будинку, квартири або офісу; у невеликих сонячних електростанціях; для роботи з акумуляторними батареями 24 В; у системах накопичення електроенергії; для живлення побутової техніки та електронного обладнання; у автономних та гібридних системах електроживлення; у системах із резервуванням від акумулятора та сонячних панелей. На що звернути увагу Перед покупкою необхідно перевірити сумісність акумулятора з напругою 24 В, максимальну потужність та напругу сонячного масиву, а також допустиме навантаження на інвертор. Для підключення сонячних панелей важливо враховувати робочий діапазон MPPT 30–128 В та максимальну потужність PV-масиву 1600 Вт. Також варто врахувати, що це однофазна модель, а Wi-Fi-моніторинг доступний як додаткова опція."
Гибридні інвертори,MUST,"Гібридний інвертор Must PV19-6048EXP 6 кВт 48 В, 309х505х147, 14 кг",23247,грн,assets/images/products/142725_1.jpg,"Гібридний інвертор MUST PV19-6048EXP 6 кВт 48 В, 309 × 505 × 147 мм, 14 кг MUST PV19-6048EXP – гібридний інвертор потужністю 6 кВт для систем резервного та автономного електроживлення. Модель працює з акумуляторними батареями на 48 В та призначена для однофазних систем. Інвертор поєднує функції перетворювача, зарядного пристрою та сонячного контролера MPPT, дозволяючи використовувати сонячну енергію разом з акумуляторною батареєю та електромережею. Пристрій забезпечує до 6000 Вт номінальної потужності, а короткочасна пікова потужність може досягати 12 000 Вт. На виході формується чиста синусоїда, що підходить для живлення побутової техніки та іншого чутливого обладнання. Вбудований MPPT-контролер підтримує підключення сонячних панелей загальною потужністю до 6000 Вт. Робочий діапазон MPPT становить 150–450 В, а максимальний вхідний струм від сонячних панелей — 27 А. Максимальний струм заряджання акумулятора може досягати 120 А. MUST PV19-6048EXP підтримує роботу з літієвими та свинцево-кислотними акумуляторами, а для літієвих батарей передбачена комунікація BMS через RS485/CAN. Інвертор також підтримує підключення генератора та паралельну роботу декількох пристроїв. Корпус має розміри 309 × 505 × 147 мм, а вага становить 14 кг, що дозволяє встановлювати інвертор на стіну та використовувати його в системах резервного живлення будинку або комерційного об'єкта. Де використовується Гібридний інвертор MUST PV19-6048EXP можна використовувати: для резервного живлення приватного будинку або квартири; у сонячних електростанціях; для роботи з акумуляторними батареями 48 В; у системах накопичення електроенергії; для живлення побутової техніки та електрообладнання; у системах із сонячними панелями та акумуляторами; для зменшення залежності від електромережі; як частину автономної або гібридної системи живлення; у системах із резервуванням від генератора. На що звернути увагу Перед покупкою важливо перевірити сумісність акумулятора з напругою 48 В, допустиму потужність навантаження та параметри сонячного поля. При підборі сонячних панелей необхідно враховувати робочий діапазон MPPT 150–450 В, максимальну напругу PV та допустимий вхідний струм 27 А. Також варто врахувати, що це однофазний інвертор, тому перед встановленням необхідно перевірити особливості електромережі об'єкта. Для роботи з літієвими акумуляторами бажано перевірити сумісність BMS та доступні протоколи комунікації."
Джерела безперебійного живлення,—,"Зарядна станція ECOFLOW DELTA 3 1024Wh 1800W (китайські розетки, з перехідниками)",33588,грн,assets/images/products/148245_1.jpg,"Зарядна станція EcoFlow DELTA 3 1024Wh 1800W, китайські розетки з перехідниками EcoFlow DELTA 3 — портативна зарядна станція ємністю 1024 Вт·год та потужністю 1800 Вт. Її можна використовувати як резервне живлення для будинку, квартири, офісу, дачі або брати із собою для роботи та відпочинку на природі. Станція може живити більшість звичайних побутових приладів: холодильник, телевізор, роутер, ноутбук, освітлення, зарядні пристрої та електроінструмент. Максимальна пікова потужність становить 3600 Вт, тому DELTA 3 справляється і з короткочасними пусковими навантаженнями. За живлення відповідає акумулятор LiFePO4 з ресурсом до 4000 циклів до зниження ємності до 80%. Від звичайної електромережі станція заряджається приблизно за 56 хвилин. Також її можна заряджати від сонячних панелей потужністю до 500 Вт, автомобільної розетки або генератора. Для підключення техніки передбачені 4 розетки AC, USB-A, USB-C та автомобільний вихід 12,6 В. Вбудована функція ДБЖ з перемиканням менш ніж за 10 мс дозволяє використовувати EcoFlow DELTA 3 для резервного живлення чутливої техніки. Керувати станцією та контролювати її роботу можна зі смартфона через Wi-Fi або Bluetooth. У цій версії встановлені китайські розетки, а в комплекті є перехідники, тому станцію можна використовувати з обладнанням зі стандартними вилками. Характеристики: виробник: EcoFlow модель: DELTA 3 ємність: 1024 Вт·год номінальна потужність: 1800 Вт пікова потужність: 3600 Вт тип акумулятора: LiFePO4 ресурс акумулятора: 4000 циклів зарядка від мережі: до 100% приблизно за 56 хв максимальна потужність сонячної зарядки: 500 Вт час зарядки від сонячних панелей: приблизно 130 хв AC-виходи: 4 USB-A: 2 USB-C: 2, до 100 Вт автомобільний вихід: 12,6 В / 10 А / 126 Вт UPS: менше 10 мс підключення: Wi-Fi, Bluetooth розетки: китайський стандарт у комплекті: перехідники."
Джерела безперебійного живлення,EcoFlow,"Зарядна станція EcoFlow Delta 2, 1800W, 1024Wh (EU)",34261,грн,assets/images/products/148299_1.jpg,"Зарядна станція EcoFlow DELTA 2 1800 Вт 1024 Вт·год (EU) EcoFlow DELTA 2 — портативна зарядна станція ємністю 1024 Вт·год та потужністю 1800 Вт. Її можна використовувати як резервне живлення для будинку, квартири, офісу, дачі або брати із собою для роботи та відпочинку на природі. Станція може живити більшість звичайних побутових приладів: холодильник, телевізор, роутер, ноутбук, освітлення, зарядні пристрої та електроінструмент. Максимальна пікова потужність становить 2700 Вт, тому DELTA 2 справляється з короткочасними пусковими навантаженнями. За живлення відповідає акумулятор LiFePO4 з ресурсом до 3000 циклів до зниження ємності до 80%. Від звичайної електромережі станція заряджається приблизно за 80 хвилин. Також її можна заряджати від сонячних панелей потужністю до 500 Вт, автомобільної розетки або генератора. Для підключення техніки передбачені 6 розеток AC, USB-A, USB-C та автомобільний вихід 12,6 В. Вбудована функція ДБЖ з автоматичним перемиканням менш ніж за 30 мс дозволяє використовувати EcoFlow DELTA 2 для резервного живлення техніки. Керувати станцією та контролювати її роботу можна зі смартфона через Wi-Fi або Bluetooth. У цій версії встановлені розетки стандарту EU, тому станція готова до використання з обладнанням, що має європейські вилки. Характеристики: виробник: EcoFlow модель: DELTA 2 ємність: 1024 Вт·год номінальна потужність: 1800 Вт пікова потужність: 2700 Вт тип акумулятора: LiFePO4 ресурс акумулятора: 3000 циклів зарядка від мережі: до 100% приблизно за 80 хв максимальна потужність сонячної зарядки: 500 Вт AC-виходи: 6 USB-A: 2 USB-C: 2, до 100 Вт автомобільний вихід: 12,6 В / 10 А / 126 Вт UPS: менше 30 мс підключення: Wi-Fi, Bluetooth розетки: європейський стандарт EU."
Гибридні інвертори,MUST,"Гібридний інвертор MUST PV18-2012 ECO 2 кВт 12 В, 290х367х111, 6 кг",13380,грн,assets/images/products/148317_1.jpg,"Гібридний інвертор MUST PV18-2012 ECO 2 кВт 12 В, 290 × 367 × 111 мм, 6 кг MUST PV18-2012 ECO – гібридний інвертор потужністю 2 кВт для систем резервного та автономного електроживлення. Модель працює з акумуляторними батареями на 12 В та призначена для однофазних систем. Інвертор поєднує функції перетворювача напруги, зарядного пристрою та сонячного контролера MPPT, що дозволяє використовувати його разом із сонячними панелями, акумулятором та електромережею. На виході інвертор формує чисту синусоїду, тому його можна використовувати для живлення побутової техніки, електроніки та іншого обладнання. Вбудований MPPT-контролер дозволяє використовувати сонячну енергію для живлення навантаження та заряджання акумуляторної батареї. Інвертор підтримує різні режими роботи, що дає змогу використовувати його як джерело резервного живлення або як частину невеликої автономної сонячної системи. Корпус має розміри 290 × 367 × 111 мм, а вага становить 6 кг. Компактні габарити дозволяють встановлювати інвертор у приміщеннях з обмеженим простором за умови забезпечення достатньої вентиляції та доступу для підключення кабелів. Де використовується Гібридний інвертор MUST PV18-2012 ECO можна використовувати: для резервного живлення будинку або квартири; у невеликих сонячних електростанціях; для роботи з акумуляторними батареями 12 В; у системах накопичення електроенергії; для резервного живлення побутової техніки та електронного обладнання; у невеликих автономних системах електроживлення; для використання сонячної енергії разом з акумулятором; як частину гібридної системи живлення. На що звернути увагу Перед покупкою важливо перевірити сумісність акумуляторної батареї з напругою 12 В, а також її ємність і допустимі струми заряду та розряду. Для системи з потужністю 2 кВт необхідно враховувати навантаження та пускові струми обладнання, особливо під час підключення приладів із електродвигунами. Також при підборі сонячних панелей потрібно враховувати допустимі параметри PV-входу та робочий діапазон MPPT саме цієї моделі. Під час монтажу необхідно забезпечити достатню вентиляцію та вільний простір навколо інвертора для нормального охолодження."
Силові та сонячні кабелі,KBE,"Сонячний кабель KBE 6 мм 1 м, Німеччина",67,грн,assets/images/products/151777_1.jpg,"Сонячний кабель KBE 6 мм² 1 м, Німеччина Сонячний кабель KBE 6 мм² використовується для підключення сонячних панелей та іншого обладнання фотоелектричної системи. Кабель призначений для прокладання електричних з'єднань у сонячних електростанціях та фотоелектричних системах. KBE має переріз 6 мм² та довжину 1 м. Така довжина підходить для виконання коротких з'єднань між компонентами сонячної електростанції та підключення обладнання під час монтажу. Сонячний кабель KBE 6 мм² можна використовувати у фотоелектричних системах для підключення сонячних панелей та іншого обладнання. Кабель довжиною 1 м зручно використовувати там, де не потрібна велика довжина кабельної лінії. Характеристики: виробник: KBE країна виробництва: Німеччина переріз: 6 мм² довжина: 1 м тип: сонячний кабель призначення: для сонячних панелей та фотоелектричних систем"
Комплекти автономного енергоживлення,FELICITY,Комплект автономного енергоживлення: MUST PV19-6048EXP 48V 6 kW + Felicity FLA48314-EU 51.2V 314Ah 16kWh,110223,грн,assets/images/komp/151790.jpg,"Комплект автономного енергоживлення MUST PV19-6048EXP 48V 6 кВт + Felicity FLA48314-EU 51.2V 314Ah 16 кВт·год Комплект автономного енергоживлення MUST та Felicity підійде для будинку або іншого об'єкта, де потрібна потужна система резервного та автономного живлення. У комплекті поєднані гібридний інвертор MUST на 6 кВт та акумулятор Felicity ємністю 16 кВт·год, тому система може не тільки живити навантаження, а й накопичувати електроенергію для подальшого використання. MUST PV19-6048EXP — це гібридний інвертор MUST 6 кВт з робочою напругою акумуляторної системи 48 В. Інвертор призначений для роботи з мережею, акумулятором та сонячними панелями, тому його можна використовувати як основу системи резервного живлення або автономної сонячної електростанції. Він підтримує підключення сонячних панелей загальною потужністю до 6 кВт та має 2 MPPT-контролери для ефективного використання сонячної енергії. Інвертор 48 В 6 кВт забезпечує живлення підключеного навантаження від акумулятора або мережі, а накопичену енергію можна використовувати під час відключень електроенергії. Завдяки можливості паралельного підключення декількох інверторів систему можна розширити, якщо в майбутньому виникне потреба у збільшенні потужності. Для накопичення електроенергії використовується Felicity FLA48314-EU. Це літій-залізо-фосфатна батарея LiFePO4 з номінальною напругою 51,2 В, ємністю 314 А·год та запасом енергії 16 кВт·год. Максимальний струм заряду та розряду становить 160 А, а максимальна потужність заряду або розряду — 8 кВт. Заявлений ресурс батареї становить 8000+ циклів, а допустима глибина розряду — не менше 95%. Акумулятор має вбудовану BMS, яка контролює основні параметри батареї та забезпечує її захист під час роботи. Для зв'язку з інвертором передбачена комунікація через CAN та RS485. За потреби систему можна розширити, підключивши до 15 акумуляторних блоків паралельно, що дозволяє збільшити загальний запас енергії. Такий комплект інвертор + акумулятор містить основні компоненти для створення системи резервного та автономного живлення. Його можна використовувати для автономного живлення будинку, офісу, майстерні або іншого об'єкта, а за наявності сонячних панелей — для вироблення, використання та накопичення власної електроенергії. Характеристики: Інвертор: MUST PV19-6048EXP 48 В 6 кВт Тип: гібридний інвертор Номінальна потужність: 6 кВт Кількість фаз: 1 Напруга АКБ: 48 В Кількість MPPT: 2 Максимальна потужність сонячних панелей: 6 кВт Максимальний струм заряду: 120 А Максимальна кількість інверторів при паралельному підключенні: 9 ККД: до 94% WiFi: є Форма вихідної напруги: чиста синусоїда Робоча температура: від -10 до +50 °C Акумулятор: Felicity FLA48314-EU Тип АКБ: LiFePO4 Номінальна напруга: 51,2 В Ємність: 314 А·год Енергоємність: 16 кВт·год Максимальний струм заряду: 160 А Максимальний струм розряду: 160 А Максимальна потужність заряду/розряду: 8 кВт Глибина розряду: ≥95% Ресурс: 8000+ циклів BMS: є Комунікація: CAN, RS485 Захист: автоматичний вимикач, запобіжник Можливість розширення: до 15 акумуляторних блоків паралельно"
